"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Sep 14 12:39:07 GMT 2022","Wed Sep 14 12:39:08 GMT 2022","786","","","","","","[Post] - teste de autenticação",""
"passed","Wed Sep 14 12:39:47 GMT 2022","Wed Sep 14 12:40:00 GMT 2022","12661","","","","","","Concluir Cadastro Com sucesso",""
"passed","Wed Sep 28 18:46:19 GMT 2022","Wed Sep 28 18:46:20 GMT 2022","430","","testes de exclusão","","","","[DELETE] deletar uma postagem",""
"passed","Wed Sep 28 18:46:20 GMT 2022","Wed Sep 28 18:46:20 GMT 2022","445","","testes de exclusão","","","","[PUT] curtir uma postagem",""
"passed","Wed Sep 14 12:40:05 GMT 2022","Wed Sep 14 12:40:08 GMT 2022","2925","","funcionaliade login","","","","Dado que o usuario esteja na tela de login Quando digitar email e senha validos entao deverá fazer login",""
"passed","Wed Sep 14 12:39:19 GMT 2022","Wed Sep 14 12:39:19 GMT 2022","46","","","","","","Unnamed",""
"passed","Wed Sep 14 12:39:08 GMT 2022","Wed Sep 14 12:39:08 GMT 2022","221","","","","","","[Post] - teste de autenticação com senha invalido",""
"passed","Wed Sep 14 12:40:08 GMT 2022","Wed Sep 14 12:40:11 GMT 2022","2515","","funcionaliade login","","","","Dado que o usuario esteja na tela de login Quando digitar email valido e senha invalido entao não deverá fazer login",""
"passed","Wed Sep 28 18:46:19 GMT 2022","Wed Sep 28 18:46:19 GMT 2022","461","","teste de consulta","","","","[GET] consulta uma postagem por ID",""
"passed","Wed Sep 14 12:39:33 GMT 2022","Wed Sep 14 12:39:35 GMT 2022","2068","","Funcionalidade cadasrtro","","","","deve fazer cadastro sem sucesso",""
"passed","Wed Sep 14 12:39:38 GMT 2022","Wed Sep 14 12:39:39 GMT 2022","1267","","Funcionalidade cadasrtro","","","","cadastro sem sucesso",""
"passed","Wed Sep 14 12:40:08 GMT 2022","Wed Sep 14 12:40:08 GMT 2022","932","","funcionaliade login","","","","Dado que o usuario esteja na tela de login Quando digitar email invalido e senha valido entao não deverá fazer login",""
"passed","Wed Sep 28 18:46:17 GMT 2022","Wed Sep 28 18:46:19 GMT 2022","1495","","teste de consulta","","","","[GET] consulta uma postagem",""
"passed","Wed Sep 28 18:46:17 GMT 2022","Wed Sep 28 18:46:17 GMT 2022","679","","validação de postagens","","","","[POST] Criar uma postagem",""
"passed","Wed Sep 14 12:39:39 GMT 2022","Wed Sep 14 12:39:39 GMT 2022","277","","Funcionalidade cadasrtro","","","","cadastrar massa de dados do fixtures",""
"passed","Wed Sep 14 12:39:29 GMT 2022","Wed Sep 14 12:39:33 GMT 2022","3680","","Funcionalidade cadasrtro","","","","deve fazer cadastro com sucesso",""
