"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Sep 13 20:45:28 GMT 2022","Tue Sep 13 20:45:29 GMT 2022","471","","testes de exclusão","","","","[DELETE] deletar uma postagem",""
"passed","Tue Sep 13 20:45:41 GMT 2022","Tue Sep 13 20:45:55 GMT 2022","13841","","","","","","Concluir Cadastro Com sucesso",""
"passed","Fri Aug 19 19:07:33 GMT 2022","Fri Aug 19 19:07:34 GMT 2022","1053","","funcionaliade login","","","","login sem sucesso",""
"passed","Tue Sep 13 20:45:27 GMT 2022","Tue Sep 13 20:45:28 GMT 2022","1405","","teste de consulta","","","","[GET] consulta uma postagem",""
"passed","Tue Sep 13 20:45:19 GMT 2022","Tue Sep 13 20:45:19 GMT 2022","235","","","","","","[Post] - teste de autenticação com senha invalido",""
"passed","Tue Sep 13 20:46:18 GMT 2022","Tue Sep 13 20:46:18 GMT 2022","29","","","","","","Unnamed",""
"passed","Mon Sep 12 19:40:02 GMT 2022","Mon Sep 12 19:40:03 GMT 2022","225","","","","","","[Post] - teste de autenticação com usuario invalido",""
"failed","Mon Sep 12 21:47:44 GMT 2022","Mon Sep 12 21:47:46 GMT 2022","1913","","validação de postagens","","","","[GET] pesquisar por id",""
"passed","Tue Sep 13 20:46:34 GMT 2022","Tue Sep 13 20:46:36 GMT 2022","1936","","Funcionalidade cadasrtro","","","","deve fazer cadastro sem sucesso",""
"passed","Tue Sep 13 20:45:29 GMT 2022","Tue Sep 13 20:45:29 GMT 2022","510","","testes de exclusão","","","","[PUT] curtir uma postagem",""
"passed","Tue Sep 13 20:45:26 GMT 2022","Tue Sep 13 20:45:27 GMT 2022","370","","validação de postagens","","","","[POST] Criar uma postagem",""
"passed","Tue Aug 23 12:52:52 GMT 2022","Tue Aug 23 12:52:53 GMT 2022","809","","realizar um chamado do protals","","","","Unnamed",""
"passed","Tue Sep 13 20:46:05 GMT 2022","Tue Sep 13 20:46:07 GMT 2022","2233","","funcionaliade login","","","","Dado que o usuario esteja na tela de login Quando digitar email e senha validos entao deverá fazer login",""
"passed","Tue Sep 13 20:46:07 GMT 2022","Tue Sep 13 20:46:09 GMT 2022","1106","","funcionaliade login","","","","Dado que o usuario esteja na tela de login Quando digitar email invalido e senha valido entao não deverá fazer login",""
"passed","Wed Aug 24 14:13:55 GMT 2022","Wed Aug 24 14:14:06 GMT 2022","10556","","processo de onboarding","","","","Unnamed",""
"failed","Fri Aug 19 19:00:06 GMT 2022","Fri Aug 19 19:00:16 GMT 2022","10024","","funcionaliade login","","","","mensagem de erro email errado",""
"passed","Tue Sep 13 20:46:09 GMT 2022","Tue Sep 13 20:46:10 GMT 2022","1462","","funcionaliade login","","","","Dado que o usuario esteja na tela de login Quando digitar email valido e senha invalido entao não deverá fazer login",""
"passed","Tue Sep 13 20:45:18 GMT 2022","Tue Sep 13 20:45:19 GMT 2022","805","","","","","","[Post] - teste de autenticação",""
"passed","Tue Sep 13 20:46:31 GMT 2022","Tue Sep 13 20:46:34 GMT 2022","3075","","Funcionalidade cadasrtro","","","","deve fazer cadastro com sucesso",""
"passed","Wed Aug 24 14:03:23 GMT 2022","Wed Aug 24 14:03:34 GMT 2022","11310","","processo de onboarding","","","","faz cadastro no onboarding mar aberto",""
"passed","Tue Sep 13 20:46:41 GMT 2022","Tue Sep 13 20:46:41 GMT 2022","337","","Funcionalidade cadasrtro","","","","cadastrar massa de dados do fixtures",""
"passed","Tue Sep 13 17:25:44 GMT 2022","Tue Sep 13 17:25:46 GMT 2022","1759","","teste de consulta","","","","[GET] Criar uma postagem",""
"failed","Mon Sep 12 21:30:25 GMT 2022","Mon Sep 12 21:30:25 GMT 2022","25","","","","","","An uncaught error was detected outside of a test",""
"passed","Tue Sep 13 20:46:39 GMT 2022","Tue Sep 13 20:46:41 GMT 2022","1687","","Funcionalidade cadasrtro","","","","cadastro sem sucesso",""
"passed","Tue Sep 13 17:23:24 GMT 2022","Tue Sep 13 17:23:26 GMT 2022","1786","","validação de postagens","","","","[GET] Criar uma postagem",""
"failed","Tue Sep 13 17:04:52 GMT 2022","Tue Sep 13 17:04:54 GMT 2022","1561","","validar por id","","","","[GET] pesquisar por id",""
"failed","Tue Aug 23 12:50:24 GMT 2022","Tue Aug 23 12:50:41 GMT 2022","16364","","realizar um chamado do protals","","","","realizar login e fazer uma nova chamada",""
"passed","Fri Aug 19 19:07:31 GMT 2022","Fri Aug 19 19:07:33 GMT 2022","1957","","funcionaliade login","","","","deve fazer login com sucesso",""
"passed","Tue Sep 13 20:45:28 GMT 2022","Tue Sep 13 20:45:28 GMT 2022","461","","teste de consulta","","","","[GET] consulta uma postagem por ID",""
